,Date,Open,High,Low,Close,Adj Close,Volume
182,"May 3, 2024",137.81,144.96,136.12,143.77,143.77,"3,216,962,298"
183,"May 2, 2024",134.63,140.28,128.26,137.81,137.81,"3,380,078,368"
184,"May 1, 2024",126.96,135.11,119.38,134.63,134.63,"4,136,407,963"
185,"Apr 30, 2024",137.78,139.67,121.64,126.96,126.96,"3,407,320,371"
186,"Apr 29, 2024",137.86,138.74,133.71,137.78,137.78,"2,464,951,751"
187,"Apr 28, 2024",141.29,144.51,137.23,137.86,137.86,"1,959,005,342"
188,"Apr 27, 2024",139.10,142.87,134.03,141.29,141.29,"2,373,155,947"
189,"Apr 26, 2024",144.89,145.85,138.91,139.10,139.10,"2,564,389,027"
190,"Apr 25, 2024",147.75,149.30,142.26,144.89,144.89,"3,674,969,172"
191,"Apr 24, 2024",154.70,159.58,145.77,147.75,147.75,"3,932,336,720"
192,"Apr 23, 2024",157.03,159.94,153.32,154.70,154.70,"2,750,685,937"
193,"Apr 22, 2024",148.61,158.37,146.99,157.03,157.03,"2,959,650,502"
194,"Apr 21, 2024",151.13,153.42,147.17,148.61,148.61,"2,211,663,291"
195,"Apr 20, 2024",142.68,152.10,140.01,151.13,151.13,"2,795,892,211"
196,"Apr 19, 2024",142.08,147.33,128.86,142.68,142.68,"5,857,667,913"
197,"Apr 18, 2024",131.87,143.73,128.08,142.08,142.08,"4,193,561,506"
198,"Apr 17, 2024",136.28,142.60,127.53,131.87,131.87,"4,888,546,522"
199,"Apr 16, 2024",138.51,140.28,126.87,136.28,136.28,"5,156,084,639"
200,"Apr 15, 2024",151.30,155.96,134.57,138.51,138.51,"5,699,439,234"
201,"Apr 14, 2024",139.34,152.50,131.29,151.28,151.28,"7,110,974,218"
202,"Apr 13, 2024",153.63,154.94,119.83,139.34,139.34,"8,976,793,985"
203,"Apr 12, 2024",172.58,175.81,145.52,153.64,153.64,"4,727,185,451"
204,"Apr 11, 2024",173.44,176.24,170.39,172.58,172.58,"2,712,334,365"
205,"Apr 10, 2024",172.41,175.32,163.81,173.44,173.44,"3,344,074,648"
206,"Apr 9, 2024",180.78,180.83,169.37,172.41,172.41,"2,688,188,866"
207,"Apr 8, 2024",179.65,184.30,175.59,180.78,180.78,"2,744,377,905"
208,"Apr 7, 2024",178.92,182.54,177.07,179.65,179.65,"1,854,793,003"
209,"Apr 6, 2024",174.50,179.70,173.87,178.92,178.92,"4,672,922,789"
210,"Apr 5, 2024",183.96,184.98,168.24,174.50,174.50,"7,398,400,404"
211,"Apr 4, 2024",185.25,190.07,180.51,183.96,183.96,"4,101,220,964"
212,"Apr 3, 2024",181.17,191.69,177.40,185.25,185.25,"4,160,370,221"
213,"Apr 2, 2024",192.57,192.57,176.13,181.17,181.17,"4,553,269,015"
214,"Apr 1, 2024",202.87,204.18,187.49,192.57,192.57,"3,872,515,434"
215,"Mar 31, 2024",194.38,203.03,194.04,202.87,202.87,"2,342,185,476"
216,"Mar 30, 2024",192.23,199.73,191.22,194.39,194.39,"2,999,311,846"
217,"Mar 29, 2024",189.62,192.97,183.65,192.23,192.23,"3,031,009,580"
218,"Mar 28, 2024",186.36,190.88,181.00,189.62,189.62,"2,910,414,256"
219,"Mar 27, 2024",190.70,192.50,180.42,186.36,186.36,"3,844,985,014"
220,"Mar 26, 2024",189.08,196.29,186.75,190.70,190.70,"3,520,179,571"
221,"Mar 25, 2024",183.57,194.43,181.25,189.08,189.08,"4,066,489,821"
222,"Mar 24, 2024",172.90,186.63,171.67,183.57,183.57,"2,661,231,893"
223,"Mar 23, 2024",174.36,178.80,171.02,172.90,172.90,"2,711,581,881"
224,"Mar 22, 2024",179.24,181.32,167.88,174.36,174.36,"4,150,938,142"
225,"Mar 21, 2024",191.55,195.31,176.28,179.22,179.22,"5,613,811,275"
226,"Mar 20, 2024",170.02,192.91,163.30,191.55,191.55,"8,673,957,460"
227,"Mar 19, 2024",195.99,198.24,166.18,170.02,170.02,"11,658,593,922"
228,"Mar 18, 2024",202.12,209.70,194.85,195.99,195.99,"11,137,647,410"
229,"Mar 17, 2024",181.88,204.29,179.23,202.12,202.12,"10,876,218,562"
